url,source_file,locale,page_type,indexability,canonical,primary_keyword,search_intent,title_current,title_proposed,h1_current,h1_proposed,meta_description_current,meta_description_proposed,primary_cta_current,primary_cta_proposed,content_action,hreflang_status,internal_link_action,proof_needed,notes
/,client/i18n/content/home.ts,en,Homepage,Indexable,https://digitalfacemarketing.com/,patient acquisition system for clinics,Commercial,DigitalFace Marketing | Patient acquisition and booking systems,Patient Acquisition & Booking Systems for Clinics | DigitalFace Marketing,We turn patient inquiries into booked appointments.,unchanged,"DigitalFace installs and manages the advertising, follow-up, bilingual AI conversations and booking system behind dental practices, aesthetic medicine and med spas.","DigitalFace installs and runs the advertising, instant follow-up, bilingual AI conversations and booking system behind dental practices, aesthetic medicine clinics and med spas in the US and Latin America. Book a call to see it on your numbers.",Book a call,unchanged,Metadata only. Body copy already outcome-first and evidence-bounded.,"OK: en / es / x-default, reciprocal",No change needed. Links to all three funnels + all corporate pages.,No,Title now leads with the buyer's search term instead of the brand. Market (US + LATAM) added to the description.
/es,client/i18n/content/home.ts,es,Homepage,Indexable,https://digitalfacemarketing.com/es,captación de pacientes para clínicas,Commercial,DigitalFace Marketing | Sistemas de captación y agendamiento de pacientes,Captación de Pacientes y Agendamiento para Clínicas | DigitalFace Marketing,Convertimos consultas de pacientes en citas agendadas.,unchanged,"DigitalFace instala y administra la pauta, el seguimiento inmediato, las conversaciones bilingües con IA y el agendamiento de clínicas odontológicas, medicina estética y med spas.","DigitalFace instala y opera la pauta, el seguimiento inmediato, las conversaciones bilingües con IA y el agendamiento de clínicas odontológicas, medicina estética y med spas en Estados Unidos y Latinoamérica. Agenda una llamada y míralo con tus números.",Agenda una llamada,unchanged,Metadata only. Spanish is already transcreated rather than translated.,"OK: en / es / x-default, reciprocal",No change needed.,No,Spanish copy uses neutral LATAM vocabulary (pauta / agendamiento) rather than Spain-specific terms.
/features,client/i18n/content/features.ts,en,Service pillar,Indexable,https://digitalfacemarketing.com/features,patient acquisition and follow-up system,Informational-commercial,Sales System | DigitalFace Marketing,Patient Acquisition & Follow-Up System | DigitalFace Marketing,The DigitalFace Sales System,The DigitalFace Sales System: from patient inquiry to booked appointment,"The seven modules of the DigitalFace Sales System: paid traffic, lead capture, instant follow-up, booking, CRM, recovery and ongoing optimization.","How the DigitalFace system captures every patient inquiry and turns it into a booked appointment: paid traffic, lead capture, instant follow-up, booking, CRM, recovery and ongoing optimization.",Book a call,unchanged,H1 keeps the brand term but now states the page subject.,"OK: en / es / x-default, reciprocal",Now receives contextual links from all three industry funnels.,No,Old H1 was brand-only and carried no search subject.
/es/features,client/i18n/content/features.ts,es,Service pillar,Indexable,https://digitalfacemarketing.com/es/features,sistema de captación de pacientes,Informational-commercial,Sistema de Ventas | DigitalFace Marketing,Sistema de Captación y Seguimiento de Pacientes | DigitalFace Marketing,El Sistema de Ventas DigitalFace,El Sistema de Ventas DigitalFace: de la consulta del paciente a la cita agendada,"Los siete módulos del Sistema de Ventas DigitalFace: pauta digital, captura de contactos, respuesta inmediata, agendamiento, CRM, recuperación y optimización continua.","Cómo el sistema DigitalFace captura cada consulta de paciente y la convierte en una cita agendada: pauta digital, captura de contactos, respuesta inmediata, agendamiento, CRM, recuperación y optimización continua.",Agenda una llamada,unchanged,Same treatment as EN.,"OK: en / es / x-default, reciprocal",Now receives contextual links from all three Spanish funnels.,No,Brand term "Sistema de Ventas" deliberately preserved.
/industries/dental-practices,client/pages/industries/industryContent.en.ts,en,Industry landing,Indexable,https://digitalfacemarketing.com/industries/dental-practices,dental marketing / dental patient acquisition,Commercial,Dental Practice Growth System | DigitalFace Marketing,Dental Marketing & Patient Acquisition | DigitalFace Marketing,Turn more dental inquiries into booked consultations.,unchanged,"Turn implant, veneer and treatment inquiries into organized consultations with managed acquisition, bilingual AI follow-up and booking workflows.","Turn implant, veneer and smile-design inquiries into booked consultations. DigitalFace runs the advertising, bilingual AI follow-up and booking workflow for dental practices in the US and Latin America.",Book assessment,unchanged,Metadata + outbound internal links + schema.,"OK: en / es / x-default, reciprocal","Fixed: footer now links to /, /features, /pricing and the two sibling funnels.",No,"Old title used the internal name ""Growth System"", which nobody searches for."
/es/industries/dental-practices,client/pages/industries/industryContent.es.ts,es,Industry landing,Indexable,https://digitalfacemarketing.com/es/industries/dental-practices,marketing para clínicas dentales,Commercial,Sistema de crecimiento para clínicas dentales | DigitalFace,Marketing para Clínicas Dentales y Captación de Pacientes | DigitalFace Marketing,Convierte más consultas dentales en valoraciones agendadas.,unchanged,"Convierte consultas de implantes, carillas y tratamientos en valoraciones organizadas con captación administrada, seguimiento bilingüe con IA y agendamiento.","Convierte las consultas de implantes, carillas y diseño de sonrisa en valoraciones agendadas. DigitalFace opera la pauta, el seguimiento bilingüe con IA y el agendamiento de clínicas odontológicas en Estados Unidos y Latinoamérica.",Agendar diagnóstico,unchanged,Metadata + outbound internal links + schema.,"OK: en / es / x-default, reciprocal",Fixed: same footer link block as EN.,No,Brand suffix aligned to "| DigitalFace Marketing" across both locales.
/industries/aesthetic-medicine,client/pages/industries/industryContent.en.ts,en,Industry landing,Indexable,https://digitalfacemarketing.com/industries/aesthetic-medicine,aesthetic medicine marketing / plastic surgery patient acquisition,Commercial,Aesthetic Medicine Growth System | DigitalFace Marketing,Aesthetic Medicine Marketing & Patient Acquisition | DigitalFace Marketing,Turn procedure interest into qualified consultation opportunities.,unchanged,"Turn procedure interest into qualified consultations with managed acquisition, bilingual AI communication and appointment workflows.","Turn procedure interest into qualified consultations. DigitalFace runs the advertising, bilingual AI communication and appointment workflow for aesthetic medicine and plastic surgery practices, while clinical decisions stay with your team.",Book assessment,unchanged,Metadata + outbound internal links + schema.,"OK: en / es / x-default, reciprocal",Fixed: footer link block added.,No,"Description now carries the ""clinical decisions stay with your team"" boundary, which is a real objection for this buyer."
/es/industries/aesthetic-medicine,client/pages/industries/industryContent.es.ts,es,Industry landing,Indexable,https://digitalfacemarketing.com/es/industries/aesthetic-medicine,marketing para medicina estética,Commercial,Sistema de crecimiento en medicina estética | DigitalFace,Marketing para Medicina Estética y Captación de Pacientes | DigitalFace Marketing,Convierte el interés por un procedimiento en valoraciones calificadas.,unchanged,"Convierte el interés por un procedimiento en valoraciones calificadas con captación administrada, comunicación bilingüe con IA y gestión de citas.","Convierte el interés por un procedimiento en valoraciones calificadas. DigitalFace opera la pauta, la comunicación bilingüe con IA y la gestión de citas de centros de medicina estética y cirugía plástica, mientras las decisiones clínicas siguen en tu equipo.",Agendar diagnóstico,unchanged,Metadata + outbound internal links + schema.,"OK: en / es / x-default, reciprocal",Fixed: footer link block added.,No,Covers "cirugía plástica" as a secondary term without a duplicate page.
/industries/med-spas,client/pages/industries/industryContent.en.ts,en,Industry landing,Indexable,https://digitalfacemarketing.com/industries/med-spas,med spa marketing / med spa booking system,Commercial,Med Spa Growth System | DigitalFace Marketing,Med Spa Marketing & Booking System | DigitalFace Marketing,Turn treatment interest into booked and returning clients.,unchanged,"Turn treatment interest into booked and returning clients with managed advertising, AI booking, reactivation and review workflows.","Turn treatment interest into booked and returning clients. DigitalFace runs the advertising, AI booking, membership reactivation and review workflow for med spas in the US and Latin America.",Book assessment,unchanged,Metadata + outbound internal links + schema.,"OK: en / es / x-default, reciprocal",Fixed: footer link block added.,No,Retention/reactivation angle is what separates this page from the other two funnels.
/es/industries/med-spas,client/pages/industries/industryContent.es.ts,es,Industry landing,Indexable,https://digitalfacemarketing.com/es/industries/med-spas,marketing para med spas,Commercial,Sistema de crecimiento para med spas | DigitalFace,Marketing para Med Spas y Agendamiento de Citas | DigitalFace Marketing,Convierte el interés por un tratamiento en clientes que agendan y regresan.,unchanged,"Convierte el interés por un tratamiento en clientes que agendan y regresan, con pauta administrada, agendamiento con IA, reactivación y reseñas.","Convierte el interés por un tratamiento en clientes que agendan y regresan. DigitalFace opera la pauta, el agendamiento con IA, la reactivación de membresías y las reseñas de med spas en Estados Unidos y Latinoamérica.",Agendar diagnóstico,unchanged,Metadata + outbound internal links + schema.,"OK: en / es / x-default, reciprocal",Fixed: footer link block added.,No,"""Med spa"" kept untranslated because that is the term the LATAM market searches."
